rank,name,kind,L,src,score_extra,dist_extra,n_near_extra,score_epi,dist_epi,n_near_epi
449,apt_01996,ss,50,mcts,-244.19,1.644764420821396,42,-244.19,5.108367449586997,25
450,apt_02010,ss,50,mcts,-250.62,3.0190713804081972,47,-244.17,6.130111010414094,25
451,apt_00813,ss,50,mcts,-255.44,6.377332514460876,55,-244.1,2.561872947669348,29
452,apt_02138,ss,56,mcts,-244.05,3.0603707291764475,41,-244.05,5.447734758594634,23
453,apt_00059,ss,50,mcts,-244.02,2.4851981812322324,46,-244.02,6.1371965912784665,29
454,apt_02688,ss,51,mcts,-244.01,1.77280173736376,45,-244.01,3.5912233291734927,29
455,apt_01229,ss,50,mcts,-243.96,3.933467427092799,45,-243.96,5.0138971868198645,30
456,apt_01903,ss,50,mcts,-243.93,4.437200130713086,34,-243.93,6.600378473996758,23
457,apt_00101,ss,50,mcts,-243.89,2.4163445532456773,31,-243.89,2.814480413859724,17
458,apt_01411,ss,59,mcts,-243.82,3.1644378647715654,51,-243.82,5.050604221278867,30
459,apt_00776,ss,50,mcts,-243.74,2.478824519807719,38,-243.74,6.705780416923914,20
460,apt_01637,ss,50,mcts,-243.68,2.7792864192090714,34,-243.68,6.245308158930191,21
461,apt_00152,ss,56,mcts,-243.66,2.4188265750152556,45,-243.66,2.4635594167789003,26
462,apt_01326,ss,50,mcts,-243.63,2.860114158560804,33,-243.63,4.782966966225042,22
463,apt_00286,ss,53,mcts,-243.59,3.1611811083833756,52,-243.59,6.583248514221523,35
464,apt_02228,ss,51,mcts,-243.59,2.171532408231577,40,-243.59,3.2534530886428907,28
465,apt_01638,ss,50,mcts,-243.51,2.495132461413622,25,-243.51,2.495132461413622,13
466,apt_02661,ss,50,mcts,-243.51,3.0212470935029545,41,-243.51,3.0212470935029545,26
467,apt_01404,ss,50,mcts,-243.46,2.5901494165395005,39,-243.46,2.708754695427397,19
468,apt_01583,ss,50,mcts,-243.46,2.1445619599349404,32,-243.46,4.2646063124279125,17
469,apt_01531,ss,50,mcts,-243.41,3.1661759268872043,44,-243.41,5.3676774306957,27
470,apt_00650,ss,50,mcts,-243.39,2.1790642487086,35,-243.39,2.1790642487086,25
471,apt_01374,ss,50,mcts,-243.36,2.813207066676771,47,-243.36,6.545841733497705,24
472,apt_02053,ss,50,mcts,-243.33,3.627369432522694,39,-243.33,6.818326114230679,25
473,apt_00162,ss,56,mcts,-243.31,3.1553082258314906,39,-243.31,4.60141087059175,18
474,apt_01214,ss,50,mcts,-243.22,2.6808155475526494,44,-243.22,2.9951676079979235,28
475,apt_01910,ss,50,mcts,-243.14,2.57003521376654,52,-243.14,2.57003521376654,34
476,apt_01168,ss,51,mcts,-243.08,1.9429114750806125,45,-243.08,4.193799709094364,26
477,apt_00897,ss,53,mcts,-243.05,2.0964918316082217,50,-243.05,2.0964918316082217,26
478,apt_01774,ss,50,mcts,-243.04,4.157605801419851,48,-243.04,6.370174408915343,34
479,apt_02595,ss,50,mcts,-243.04,2.299008699418101,41,-243.04,6.9606152026958,28
480,apt_01142,ss,50,mcts,-243.02,2.294216641906329,54,-243.02,2.9665752982184808,24
481,apt_01192,ss,50,mcts,-243.0,2.5267310897679542,37,-243.0,4.130762762493159,20
482,apt_02290,ss,53,mcts,-243.0,2.5444916977659866,43,-243.0,4.738081784857659,23
483,apt_01151,ss,50,mcts,-242.95,2.5302444545932494,45,-242.95,5.6747254559141345,30
484,apt_00067,ss,53,mcts,-242.94,2.6141574168362527,48,-242.94,4.429980699732231,33
485,apt_00058,ss,50,mcts,-242.92,2.405707380376942,34,-242.92,6.462600946987213,10
486,apt_01811,ss,50,mcts,-242.88,2.5941035060305464,33,-242.88,2.5941035060305464,22
487,apt_01321,ss,50,mcts,-242.85,3.695105275902164,63,-242.85,5.1941500748438125,42
488,apt_01189,ss,50,mcts,-242.81,2.757504306433644,28,-242.81,5.004115706096341,15
489,apt_02744,ss,50,mcts,-242.78,5.781190015905027,41,-242.78,5.969309759092757,17
490,apt_02729,ss,50,mcts,-242.77,2.8613222467943102,39,-242.77,6.079967845309718,17
491,apt_00020,ss,54,mcts,-242.76,2.317283754743891,43,-242.76,2.317283754743891,34
492,apt_00886,ss,50,mcts,-242.76,3.0480226377112207,44,-242.76,3.6835975621666464,34
493,apt_01265,ss,52,mcts,-244.4,6.580683475141453,51,-242.76,5.646553993366216,29
494,apt_00019,ss,61,mcts,-242.6,4.768161175967113,39,-242.6,4.818694636517229,23
495,apt_01856,ss,50,mcts,-242.57,2.90088727805821,51,-242.57,2.90088727805821,27
496,apt_01897,ss,50,mcts,-242.51,3.0328313504051003,43,-242.51,6.559105198119635,31
497,apt_02254,ss,50,mcts,-242.75,4.513022712107712,44,-242.5,6.718150787233051,31
498,apt_02115,ss,50,mcts,-242.49,4.0346708663780815,50,-242.49,6.140972561410757,26
499,apt_01986,ss,55,mcts,-242.48,2.13715535233171,50,-242.48,2.999724820712723,32
500,apt_00545,ss,56,mcts,-242.44,2.346410450027871,49,-242.44,2.346410450027871,27
